dataset,method,fitness_rule,fitness,ACC,MCC,avg_odds_diff,stat_par_diff,eq_opp_diff,solution
adult_dataset_reader,hifi_initializer,mcc_parity,0.4060573270201709,0.8505251520176893,0.5795454137652135,0.066880041743179,0.1734880867450425,0.0679861159583986,{'eta': 14.487142654408082}
adult_dataset_reader,hifi_initializer,mcc_odds,0.518300500619355,0.8467661691542289,0.58279489605197,0.064494395432615,0.1809841291536352,0.0518826572382863,{'eta': 1.515543976493789}
adult_dataset_reader,hifi_initializer,mcc_opportunity,0.5049533598845788,0.8504145936981757,0.5908555538303992,0.0815158712734014,0.1908443684618711,0.0859021939458204,{'eta': 0.19950944582732782}
adult_dataset_reader,hifi_initializer,acc_parity,0.6435502057743383,0.8401326699834163,0.5569159897380558,0.106462154137997,0.1965824642090779,0.124546139828082,{'eta': 857.7401831846028}
adult_dataset_reader,hifi_initializer,acc_odds,0.8026185852316264,0.8465450525152017,0.575469063203202,0.0439264672835753,0.1689722464550704,0.0183435062047778,{'eta': 0.9840000666029113}
adult_dataset_reader,hifi_initializer,acc_opportunity,0.7900546504017668,0.8379215035931454,0.5524365926200064,0.0625017563136936,0.1766290441921925,0.0478668531913786,{'eta': 4.571097636690843}
bank_dataset_reader,hifi_initializer,mcc_parity,0.4199093809864767,0.8961954739258773,0.4907261819513261,0.0663599444747386,0.0708168009648494,0.1206210347952871,{'eta': 0.6746145545563015}
bank_dataset_reader,hifi_initializer,mcc_odds,0.4184330985840298,0.8947195801902263,0.5065684980291348,0.088135399445105,0.1191262331611352,0.1417082843713278,{'eta': 66.8530954290527}
bank_dataset_reader,hifi_initializer,mcc_opportunity,0.4933098083677657,0.889963922597573,0.5076519918777528,0.0275339347051119,0.0806663252115802,0.014342183509987,{'eta': 9.813990257842832}
bank_dataset_reader,hifi_initializer,acc_parity,0.830123092698081,0.9001311905542801,0.5368387409073758,0.0559252971235984,0.0700080978561991,0.0567629527739569,{'eta': 852.5830066692686}
bank_dataset_reader,hifi_initializer,acc_odds,0.7891642462688406,0.9007871433256806,0.5224257844010506,0.1116228970568399,0.1496365632003929,0.1373955431754875,{'eta': 693.9683824974107}
bank_dataset_reader,hifi_initializer,acc_opportunity,0.7928174812594647,0.9011151197113808,0.5104816590390785,0.0814395563518178,0.1126635602160077,0.108297638451916,{'eta': 8.9280096053}
compas_dataset_reader,hifi_initializer,mcc_parity,0.0683219574884708,0.653160453808752,0.2871098101203527,0.1991368011373075,0.2187878526318818,0.1568384927617023,{'eta': 0.03504668895648993}
compas_dataset_reader,hifi_initializer,mcc_odds,0.1603960107949167,0.6572123176661264,0.3002396298456218,0.1398436190507051,0.1597895828702674,0.1015446632420091,{'eta': 0.27412885192366054}
compas_dataset_reader,hifi_initializer,mcc_opportunity,0.1470130685168484,0.6547811993517018,0.309278005746624,0.1684031108167226,0.2047280773261907,0.1622649372297755,{'eta': 0.6906740206518145}
compas_dataset_reader,hifi_initializer,acc_parity,0.4707001964613778,0.6580226904376013,0.3144076966936046,0.1764579773489459,0.1873224939762234,0.1509593472028229,{'eta': 0.0013704882694926593}
compas_dataset_reader,hifi_initializer,acc_odds,0.5370057934353046,0.6555915721231766,0.3134184065391397,0.118585778687872,0.1434327968475526,0.0815653432588916,{'eta': 4.220398558954736}
compas_dataset_reader,hifi_initializer,acc_opportunity,0.5565847280905871,0.6661264181523501,0.3160355869902351,0.1828230163063478,0.2057092997891368,0.1095416900617629,{'eta': 0.0024329412726884258}
german_dataset_reader,hifi_initializer,mcc_parity,0.4215849315571565,0.79,0.4793786696336912,0.0599567099567099,0.0577937380765346,0.0095238095238096,{'eta': 0.005364940203068513}
german_dataset_reader,hifi_initializer,mcc_odds,0.2580927799282102,0.715,0.3023570441924745,0.0442642642642642,0.0971933471933471,0.069069069069069,{'eta': 0.8238641265069618}
german_dataset_reader,hifi_initializer,mcc_opportunity,0.2828476280548102,0.74,0.3327585014950954,0.043576126375315,0.0013275804845669,0.0499108734402852,{'eta': 0.10627838992273414}
german_dataset_reader,hifi_initializer,acc_parity,0.644820301117047,0.715,0.3182045837983773,0.0644047619047619,0.0701796988829529,0.1049999999999999,{'eta': 0.45568915494923506}
german_dataset_reader,hifi_initializer,acc_odds,0.7131119241955155,0.74,0.3763455794295562,0.0268880758044844,0.0815591221749099,0.0368421052631579,{'eta': 0.8286536446151632}
german_dataset_reader,hifi_initializer,acc_opportunity,0.5045238095238095,0.695,0.3011069533078969,0.1304232804232804,0.1392543859649123,0.1904761904761904,{'eta': 10.69553853823599}
adult_dataset_reader,hifi_initializer,mcc_parity,0.3893325658256881,0.8482034273079049,0.5666728538934183,0.0834921301580621,0.1773402880677302,0.1011373803649378,{'eta': 32.594825442377115}
adult_dataset_reader,hifi_initializer,mcc_odds,0.5183754639451092,0.8499723604201216,0.5900542708296896,0.0716788068845803,0.1848897544031605,0.0677154951602901,{'eta': 0.28503375604128817}
adult_dataset_reader,hifi_initializer,mcc_opportunity,0.4904283548258132,0.8474295190713101,0.5680408418650463,0.074638845140028,0.1706666717083549,0.077612487039233,{'eta': 0.02157045697365088}
adult_dataset_reader,hifi_initializer,acc_parity,0.6494235394008548,0.847208402432283,0.5732580995296368,0.108786172185967,0.1977848630314281,0.1335023693010883,{'eta': 6.0721256582242935}
adult_dataset_reader,hifi_initializer,acc_odds,0.7755514761617688,0.8407960199004975,0.5551831742367274,0.0652445437387286,0.1717661491661812,0.0587738390130108,{'eta': 0.5404620426866679}
adult_dataset_reader,hifi_initializer,acc_opportunity,0.7679829474377998,0.8438916528468767,0.5736813271957745,0.0795418559252915,0.1902644219583631,0.0759087054090769,{'eta': 0.045946691114285405}
bank_dataset_reader,hifi_initializer,mcc_parity,0.3691927138304096,0.8955395211544769,0.5066039064918972,0.059219643376654,0.1374111926614876,0.012053862303627,{'eta': 0.0129683805902576}
bank_dataset_reader,hifi_initializer,mcc_odds,0.4252406166586899,0.8965234503115775,0.5403701452755475,0.1151295286168575,0.1704514524035999,0.1479227656984968,{'eta': 38.74772104437507}
bank_dataset_reader,hifi_initializer,mcc_opportunity,0.4184000675509011,0.9014430960970812,0.5119626425209131,0.0610665673255935,0.0946180353442455,0.0935625749700119,{'eta': 170.93490092249024}
bank_dataset_reader,hifi_initializer,acc_parity,0.8816005247622172,0.8816005247622172,0.0,0.0,0.0,0.0,{'eta': 852.3236500198055}
bank_dataset_reader,hifi_initializer,acc_odds,0.8606247967359989,0.879960642833716,0.2937370577212818,0.0193358460977171,0.0218585964035229,0.0368318519420431,{'eta': 973.0438492085027}
