dataset,method,fitness_rule,fitness,overall_acc,MCC,avg_odds_diff,stat_par_diff,eq_opp_diff,solution,alpha
adult_dataset_reader,simple_mlp_initializer,alpha_02_overall_acc_stat_par_diff,0.0180692630917865,0.8538419016030956,0.5822977549041368,0.1057211985472339,0.1908738965360406,0.1283728867344724,{'dropout': 0.001680111396807067},0.2
adult_dataset_reader,simple_mlp_initializer,alpha_035_overall_acc_stat_par_diff,0.1592725299710128,0.84212271973466,0.5597902762332183,0.1019666055219663,0.2084160337478741,0.1032512126014503,{'dropout': 0.13182722352103413},0.35
adult_dataset_reader,simple_mlp_initializer,alpha_05_overall_acc_stat_par_diff,0.3304211017127001,0.8551686014372581,0.5911143963055502,0.109059849816514,0.1943263980118578,0.1396686697438577,{'dropout': 0.13681442085740356},0.5
adult_dataset_reader,simple_mlp_initializer,alpha_065_overall_acc_stat_par_diff,0.4909358167624634,0.85085682697623,0.5732068920818714,0.0585758062320077,0.1774889164916745,0.0299918147238672,{'dropout': 0.19143936459895594},0.65
adult_dataset_reader,simple_mlp_initializer,alpha_08_overall_acc_stat_par_diff,0.6396660353482864,0.8474295190713101,0.5755974099464172,0.0990230023241462,0.1913878995438089,0.1139953112001814,{'dropout': 0.04716861182692689},0.8
adult_dataset_reader,simple_mlp_initializer,alpha_02_overall_acc_avg_odds_diff,0.1180605002782076,0.8524046434494196,0.5822960079766412,0.0655255355145954,0.1868181198919121,0.0441244814122547,{'dropout': 0.018662493003565712},0.2
adult_dataset_reader,simple_mlp_initializer,alpha_035_overall_acc_avg_odds_diff,0.2393840425970049,0.8485351022664456,0.5797754053370541,0.0886203741480785,0.1798247903222953,0.0992083147935154,{'dropout': 0.00849510835686799},0.35
adult_dataset_reader,simple_mlp_initializer,alpha_05_overall_acc_avg_odds_diff,0.3671216452897696,0.8506357103372029,0.5801998278091768,0.1163924197576635,0.1972855395210223,0.1520364082699695,{'dropout': 0.006934820750316158},0.5
adult_dataset_reader,simple_mlp_initializer,alpha_065_overall_acc_avg_odds_diff,0.5117233412188018,0.8485351022664456,0.5754893225789682,0.1137842150125365,0.190187999723553,0.1487072705188269,{'dropout': 0.17692881846295858},0.65
adult_dataset_reader,simple_mlp_initializer,alpha_08_overall_acc_avg_odds_diff,0.663630411255652,0.8512990602542841,0.5835638668129782,0.0870441847388767,0.1989099554956736,0.093962875559156,{'dropout': 0.09865235769789357},0.8
adult_dataset_reader,simple_mlp_initializer,alpha_02_overall_acc_eq_opp_diff,0.0680366780430568,0.845992260917634,0.5643043324131173,0.1031637819383351,0.188977587304407,0.1264522176755874,{'dropout': 0.017963592130169872},0.2
adult_dataset_reader,simple_mlp_initializer,alpha_035_overall_acc_eq_opp_diff,0.2167677035469353,0.8478717523493643,0.5581081704284905,0.0920833390578245,0.1659686773643912,0.1230575535005264,{'dropout': 0.04617617041174289},0.35
adult_dataset_reader,simple_mlp_initializer,alpha_05_overall_acc_eq_opp_diff,0.3539179699356338,0.8539524599226092,0.5858719858619053,0.1149884755901573,0.1935727536967543,0.1461165200513414,{'dropout': 0.14696062845730248},0.5
adult_dataset_reader,simple_mlp_initializer,alpha_065_overall_acc_eq_opp_diff,0.5124851406490766,0.849640685461581,0.581418723363069,0.0944094338767821,0.1878295968601687,0.1136608711455745,{'dropout': 0.1109618714082788},0.65
adult_dataset_reader,simple_mlp_initializer,alpha_08_overall_acc_eq_opp_diff,0.6648699314323121,0.8455500276395799,0.5698587624862484,0.0631540784747587,0.1675927436655124,0.0578504533967593,{'dropout': 0.1711907177984147},0.8
adult_dataset_reader,simple_mlp_initializer,alpha_02_MCC_stat_par_diff,-0.0435709477782892,0.8488667772249862,0.5852166914267013,0.0806006141358879,0.2007678575795368,0.0660539513063172,{'dropout': 0.12112809702588676},0.2
adult_dataset_reader,simple_mlp_initializer,alpha_035_MCC_stat_par_diff,0.081573789941179,0.8494195688225539,0.580832780459068,0.0908528179060073,0.1872579741838381,0.1069659402992736,{'dropout': 0.0063251598652141194},0.35
adult_dataset_reader,simple_mlp_initializer,alpha_05_MCC_stat_par_diff,0.1940284484974181,0.8521835268103924,0.582964191157445,0.091865350690089,0.1949072941626086,0.1023227700543994,{'dropout': 0.12571339870251738},0.5
adult_dataset_reader,simple_mlp_initializer,alpha_065_MCC_stat_par_diff,0.3050556756412861,0.8476506357103372,0.577703491583476,0.1035627238280077,0.201290268251352,0.1240592941418002,{'dropout': 0.13418963865034578},0.65
adult_dataset_reader,simple_mlp_initializer,alpha_08_MCC_stat_par_diff,0.4238026566770211,0.849861802100608,0.5733218662005359,0.0841640138382205,0.1742741814170385,0.0965519922254616,{'dropout': 0.10445994916722655},0.8
adult_dataset_reader,simple_mlp_initializer,alpha_02_MCC_avg_odds_diff,0.0647508871579958,0.8461028192371476,0.5712282785819015,0.0618684606979805,0.1772381737758128,0.0490837256733898,{'dropout': 0.10990119439872287},0.2
adult_dataset_reader,simple_mlp_initializer,alpha_035_MCC_avg_odds_diff,0.1360394589531795,0.8442233278054173,0.5718788219041017,0.0986432749434707,0.2019178981937602,0.1108192742201312,{'dropout': 0.045074227407038564},0.35
